,pf_batt_voltage,pf_batt_min_voltage,pf_batt_max_voltage,pf_batt_capacity,pf_batt_max_charge_rate,pf_batt_max_discharge_rate,pf_batt_soc,pf_batt_stored_energy,pf_batt_usable_stored_energy,pf_batt_usable_min_energy,pf_batt_usable_max_energy,pf_batt_usable_is_full,pf_target_power_pv,pf_target_power_wt,pf_battery_remaining_energy,pf_total_energy,simulink_wt_target_power,simulink_wt_clock,simulink_wt_actual_power,simulink_wt_max_power,simulink_wt_pitch,simulink_wt_wind_speed,simulink_wt_rotor_speed,simulink_pv_target_power,simulink_pv_clock,simulink_pv_actual_power,simulink_pv_max_power,simulink_pv_irradiance,simulink_pv_irradiance_demand,simulink_pv_irradiance_limited,simulink_pv_i_dc,simulink_pv_i_dc_max,simulink_pv_v_dc,simulink_batt_I_cc,simulink_batt_V_top,simulink_batt_voltage,simulink_batt_current,simulink_batt_cell_voltage1,simulink_batt_cell_voltage2,simulink_batt_cell_voltage3,simulink_batt_cell_current1,simulink_batt_cell_current2,simulink_batt_cell_current3,simulink_batt_soc1,simulink_batt_soc2,simulink_batt_soc3,simulink_batt_cell_temperature1,simulink_batt_cell_temperature2,simulink_batt_cell_temperature3,simulink_batt_fault1,simulink_batt_fault2,simulink_batt_fault3
630,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.55,1.2712640194857272,0.9625432635808497,0.0,9.942157021001357,1.0070111766477037,1750.0,31.55,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641394001625e-08,5.041581961341602e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211309168418e-08,0.9737337993244424,0.9723175241216474,0.9665883657771841,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
631,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.6,1.267446348941661,0.9620624666746208,0.0,9.929657021001358,1.0069761199083394,1750.0,31.6,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393978206e-08,5.041581961339257e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211308933985e-08,0.9737337991381427,0.9723175239354276,0.9665883655912872,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
632,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.650000000000002,1.2636219467690069,0.9616510176040737,0.0,9.917157021001358,1.0069413113840542,1750.0,31.650000000000002,1793.1465157228124,1902.1199102738778,812.5367816526486,769.1854630504523,812.5367816526486,5.243118467025767,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139395476e-08,5.041581961336914e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.1582113086995506e-08,0.973733798951843,0.9723175237492077,0.9665883654053903,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
633,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.7,1.259793266124376,0.961304356650498,0.0,9.904657021001361,1.006906751027751,1750.0,31.7,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393931334e-08,5.041581961334569e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211308465118e-08,0.9737337987655432,0.9723175235629878,0.9665883652194933,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
634,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.75,1.2559619827386825,0.9610163996342141,0.0,9.892157021001362,1.0068724288418727,1750.0,31.75,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.04156413939079e-08,5.041581961332224e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.1582113082306834e-08,0.9737337985792436,0.972317523376768,0.9665883650335965,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
635,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.8,1.2521288728149216,0.9607820094647374,0.0,9.879657021001364,1.0068383294717413,1750.0,31.8,1793.1465157228124,1902.1199102738778,812.5367816526486,769.1854630504523,812.5367816526486,5.243118467025767,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139388447e-08,5.041581961329881e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.1582113079962505e-08,0.9737337983929438,0.9723175231905481,0.9665883648476995,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
636,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.85,1.2482939230099532,0.960598696545181,0.0,9.867157021001365,1.0068044365941689,1750.0,31.85,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139386104e-08,5.0415819613275364e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.1582113077618176e-08,0.9737337982066441,0.9723175230043283,0.9665883646618025,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
637,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.900000000000002,1.244456580442943,0.9604672364983534,0.0,9.854657021001366,1.0067707362047078,1750.0,31.900000000000002,1793.3537411492764,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.2437243893253696,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393837605e-08,5.041581961325192e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211307527385e-08,0.9737337980203443,0.9723175228181085,0.9665883644759057,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
638,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,31.95,1.240616047009695,0.9603912502593546,0.0,9.842157021001368,1.0067372184106054,1750.0,31.95,1793.1465157228124,1902.1199102738778,812.5367816526486,769.1854630504523,812.5367816526486,5.243118467025767,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.041564139381417e-08,5.041581961322847e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.1582113072929505e-08,0.9737337978340447,0.9723175226318885,0.9665883642900087,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
639,5.0,5,200,2000,5,5,0.0,10000.0,0.0,10000,400000,0,1750,1500,10000.0,812.5,1500.0,32.0,1.2367715405817137,0.9603760610665816,0.0,9.829657021001369,1.0067038777787998,1750.0,32.0,1793.2775072056777,1902.1199102738778,812.5367816526486,769.2854630504523,812.5367816526486,5.243501483057537,5.56175412360783,342.0,0.0,5.0,1.5124638164110138e-07,4.999999848753618e-06,5.041492023849514e-08,5.0415641393790733e-08,5.0415819613205034e-08,4.999999848249927e-06,4.9999998482499195e-06,-4.158211307058517e-08,0.9737337976477449,0.9723175224456687,0.9665883641041118,19.85000000001355,19.85000000002259,19.850000000027137,0.0,0.0,0.0
