Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min
64,172.22.66.10,49922,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108591,0 days 00:00:00.410360,2,0,132,0.0,66.0,0.0,66,66,,,,,321.66877863339505,4.873769373233259,0 days 00:00:00.410360,0 days 00:00:00,0 days 00:00:00.410360,0 days 00:00:00.410360,0 days 00:00:00.410360,0 days 00:00:00.410360,0 days 00:00:00,0 days 00:00:00.410360,0 days 00:00:00.410360,,,,,
65,172.22.66.10,59754,224.0.0.252,5355,UDP,2024-05-31 12:00:33.108911,0 days 00:00:00.410079,2,0,130,0.0,65.0,0.0,65,65,,,,,317.0120879147676,4.8771090448425785,0 days 00:00:00.410079,0 days 00:00:00,0 days 00:00:00.410079,0 days 00:00:00.410079,0 days 00:00:00.410079,0 days 00:00:00.410079,0 days 00:00:00,0 days 00:00:00.410079,0 days 00:00:00.410079,,,,,
66,172.22.66.10,57879,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109210,0 days 00:00:00.409754,2,0,132,0.0,66.0,0.0,66,66,,,,,322.14450621592465,4.88097736690795,0 days 00:00:00.409754,0 days 00:00:00,0 days 00:00:00.409754,0 days 00:00:00.409754,0 days 00:00:00.409754,0 days 00:00:00.409754,0 days 00:00:00,0 days 00:00:00.409754,0 days 00:00:00.409754,,,,,
67,172.22.66.10,56314,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109222,0 days 00:00:00.410575,2,0,132,0.0,66.0,0.0,66,66,,,,,321.50033489618215,4.871217195396699,0 days 00:00:00.410575,0 days 00:00:00,0 days 00:00:00.410575,0 days 00:00:00.410575,0 days 00:00:00.410575,0 days 00:00:00.410575,0 days 00:00:00,0 days 00:00:00.410575,0 days 00:00:00.410575,,,,,
68,172.22.66.10,51087,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109225,0 days 00:00:00.410567,2,0,132,0.0,66.0,0.0,66,66,,,,,321.5065994100841,4.871312112274001,0 days 00:00:00.410567,0 days 00:00:00,0 days 00:00:00.410567,0 days 00:00:00.410567,0 days 00:00:00.410567,0 days 00:00:00.410567,0 days 00:00:00,0 days 00:00:00.410567,0 days 00:00:00.410567,,,,,
69,172.22.66.10,53423,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109229,0 days 00:00:00.410617,2,0,132,0.0,66.0,0.0,66,66,,,,,321.4674502029872,4.870718942469503,0 days 00:00:00.410617,0 days 00:00:00,0 days 00:00:00.410617,0 days 00:00:00.410617,0 days 00:00:00.410617,0 days 00:00:00.410617,0 days 00:00:00,0 days 00:00:00.410617,0 days 00:00:00.410617,,,,,
70,172.22.66.10,59081,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109413,0 days 00:00:00.410401,2,0,132,0.0,66.0,0.0,66,66,,,,,321.63664318556727,4.8732824725085955,0 days 00:00:00.410401,0 days 00:00:00,0 days 00:00:00.410401,0 days 00:00:00.410401,0 days 00:00:00.410401,0 days 00:00:00.410401,0 days 00:00:00,0 days 00:00:00.410401,0 days 00:00:00.410401,,,,,
71,172.22.66.10,58457,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109429,0 days 00:00:00.410371,2,0,132,0.0,66.0,0.0,66,66,,,,,321.66015629759414,4.873638731781729,0 days 00:00:00.410371,0 days 00:00:00,0 days 00:00:00.410371,0 days 00:00:00.410371,0 days 00:00:00.410371,0 days 00:00:00.410371,0 days 00:00:00,0 days 00:00:00.410371,0 days 00:00:00.410371,,,,,
72,172.22.66.10,55651,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109432,0 days 00:00:00.410372,2,0,132,0.0,66.0,0.0,66,66,,,,,321.6593724718061,4.873626855633425,0 days 00:00:00.410372,0 days 00:00:00,0 days 00:00:00.410372,0 days 00:00:00.410372,0 days 00:00:00.410372,0 days 00:00:00.410372,0 days 00:00:00,0 days 00:00:00.410372,0 days 00:00:00.410372,,,,,
73,172.22.66.10,65424,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109677,0 days 00:00:00.410130,2,0,132,0.0,66.0,0.0,66,66,,,,,321.8491697754371,4.876502572355107,0 days 00:00:00.410130,0 days 00:00:00,0 days 00:00:00.410130,0 days 00:00:00.410130,0 days 00:00:00.410130,0 days 00:00:00.410130,0 days 00:00:00,0 days 00:00:00.410130,0 days 00:00:00.410130,,,,,
74,172.22.66.10,54487,224.0.0.252,5355,UDP,2024-05-31 12:00:33.109690,0 days 00:00:00.410120,2,0,132,0.0,66.0,0.0,66,66,,,,,321.8570174583049,4.876621476640984,0 days 00:00:00.410120,0 days 00:00:00,0 days 00:00:00.410120,0 days 00:00:00.410120,0 days 00:00:00.410120,0 days 00:00:00.410120,0 days 00:00:00,0 days 00:00:00.410120,0 days 00:00:00.410120,,,,,
75,172.22.66.24,102,172.22.66.10,50239,TCP,2024-05-31 12:00:34.898286,0 days 00:00:00.333969,2,2,120,120.0,60.0,0.0,60,60,60.0,0.0,60.0,60.0,718.6295734035194,11.977159556725324,0 days 00:00:00.111323,0 days 00:00:00.155954,0 days 00:00:00.331876,0 days 00:00:00.000794,0 days 00:00:00.333969,0 days 00:00:00.333969,0 days 00:00:00,0 days 00:00:00.333969,0 days 00:00:00.333969,0 days 00:00:00.331876,0 days 00:00:00.331876,0 days 00:00:00,0 days 00:00:00.331876,0 days 00:00:00.331876
76,172.22.66.50,64721,239.255.255.250,1900,UDP,2024-05-31 12:00:37.096435,0 days 00:00:03.031353,4,0,868,0.0,217.0,0.0,217,217,,,,,286.3407857811347,1.3195427916181321,0 days 00:00:01.010451,0 days 00:00:00.003092,0 days 00:00:01.013925,0 days 00:00:01.006414,0 days 00:00:03.031353,0 days 00:00:01.010451,0 days 00:00:00.003092,0 days 00:00:01.013925,0 days 00:00:01.006414,,,,,
77,172.22.66.10,57117,224.0.0.252,5355,UDP,2024-05-31 12:00:39.444230,0 days 00:00:00.409562,2,0,132,0.0,66.0,0.0,66,66,,,,,322.2955254637882,4.883265537330123,0 days 00:00:00.409562,0 days 00:00:00,0 days 00:00:00.409562,0 days 00:00:00.409562,0 days 00:00:00.409562,0 days 00:00:00.409562,0 days 00:00:00,0 days 00:00:00.409562,0 days 00:00:00.409562,,,,,
78,172.22.66.10,60017,224.0.0.252,5355,UDP,2024-05-31 12:00:39.444235,0 days 00:00:00.409569,2,0,132,0.0,66.0,0.0,66,66,,,,,322.29001706672136,4.883182076768505,0 days 00:00:00.409569,0 days 00:00:00,0 days 00:00:00.409569,0 days 00:00:00.409569,0 days 00:00:00.409569,0 days 00:00:00.409569,0 days 00:00:00,0 days 00:00:00.409569,0 days 00:00:00.409569,,,,,
79,172.22.66.10,59686,224.0.0.252,5355,UDP,2024-05-31 12:00:39.444404,0 days 00:00:00.409396,2,0,132,0.0,66.0,0.0,66,66,,,,,322.4262083654946,4.885245581295372,0 days 00:00:00.409396,0 days 00:00:00,0 days 00:00:00.409396,0 days 00:00:00.409396,0 days 00:00:00.409396,0 days 00:00:00.409396,0 days 00:00:00,0 days 00:00:00.409396,0 days 00:00:00.409396,,,,,
